Volume,Trades,Bar Size,High,Low,Open,Close,Delta T/D,Delta Aggressor,H/L Side,O/C Side,O/C Size,Max Volume,M/V Price,M/V Trades,M/V Delta T/D,M/V Delta Aggressor,Max Trade,Max Tick,Ticks Number,OI Delta,TPO High,TPO Low,COT High,COT Low,Max Delta T/D,Max Delta Aggressor,returns
799388,345571,48,3027.25,3015.5,3022.0,3022.75,7278,-3576,-1,1,3,53447,3021.5,19459,-445,-2641,0,0,0,-2516,3024.25,3019.75,-5802,1574,-6633,-2641,0.0024873559406350942
917619,382895,95,3029.5,3006.0,3006.5,3023.0,40955,12943,1,1,66,33304,3018.75,14833,-266,-934,0,0,0,15,3024.5,3009.25,-1459,13459,5976,3720,8.270614506655782e-05
1312573,604690,120,3027.75,2998.0,3018.0,3005.0,-14515,-8255,-1,-1,52,37753,3005.5,16946,677,1619,0,0,0,-3388,3014.25,3001.5,-14703,8977,-4965,3717,-0.005954349983460117
1019619,441656,105,3022.0,2996.0,3003.0,3017.75,19409,17755,1,1,59,28736,3007.5,12834,4790,-130,0,0,0,-15326,3014.25,2998.75,-2347,21126,4790,3198,0.00424292845257912
1030195,446513,85,3008.5,2987.5,2988.75,3003.0,19057,16823,1,1,57,36132,2995.5,15781,-2328,-764,0,0,0,12966,3003.25,2990.5,-2411,17652,4639,-3648,-0.004887747493993899
1052646,469507,85,2993.5,2972.5,2974.5,2989.0,17992,12570,1,1,58,49904,2987.5,16540,3680,5022,0,0,0,18104,2989.25,2982.75,3294,13225,-7707,5022,-0.004662004662004615
1414818,609203,162,3009.75,2969.5,3003.75,2971.0,-51682,-27350,-1,-1,131,26550,2999.0,12013,-5216,-2052,0,0,0,-28772,3009.25,2991.5,-28798,0,-5744,-3334,-0.006022080963532961
1304066,550724,124,3005.25,2974.5,2980.75,3003.5,44976,26800,1,1,91,34375,2983.0,15636,3155,-419,0,0,0,-1889,2991.5,2975.0,-909,28252,5496,3083,0.010939077751598747
1007341,421386,131,3013.0,2980.5,3005.75,2981.25,-30393,-36699,-1,-1,98,31252,2998.5,12506,-424,-996,0,0,0,5375,3004.25,2986.5,-38759,288,-5196,-2574,-0.007408023972032662
916483,382314,70,3021.75,3004.5,3017.25,3005.75,-45821,-19757,-1,-1,46,28764,3007.0,9344,-618,-774,0,0,0,-1378,3016.25,3005.0,-21134,-1030,-4663,-3142,0.00821802935010485
792540,335538,52,3023.5,3010.75,3015.25,3017.5,-18248,10094,1,1,9,55308,3016.75,21851,-2996,1152,0,0,0,-10894,3018.0,3014.25,4632,11593,-11600,4292,0.003909174083007505
931833,389880,64,3018.0,3002.25,3003.0,3014.25,22657,9549,1,1,45,54746,3010.0,23720,6104,1034,0,0,0,26626,3012.5,3006.75,-880,10296,6104,4699,-0.0010770505385252482
1143887,498071,58,3006.75,2992.5,2996.0,3004.0,10249,16911,-1,1,32,60204,3003.75,26541,-4370,-584,0,0,0,-2869,3005.5,2998.75,12251,16081,7324,5126,-0.003400514224102147
1380559,600021,146,3007.5,2971.25,2982.25,2996.25,19625,23195,1,1,56,62477,2997.0,23559,1135,4917,0,0,0,6870,3003.75,2993.0,-1968,23214,7855,4917,-0.002579893475366135
932494,415759,92,2986.25,2963.5,2977.75,2982.25,21814,21662,1,1,18,29410,2979.0,12726,-400,806,0,0,0,49371,2980.5,2967.5,-1391,29055,-5247,4117,-0.0046725073007926055
974915,432689,87,2994.75,2973.25,2990.75,2978.5,2521,-6801,-1,-1,49,46193,2977.5,20368,2133,1295,0,0,0,-948,2981.25,2976.0,-6856,3494,-7884,-2419,-0.001257439852460407
1180694,522668,132,3004.0,2971.25,3002.75,2991.75,-10764,-7746,-1,-1,44,24731,2994.75,7518,1597,905,0,0,0,-13414,2997.0,2980.5,-8203,8000,-7427,-5733,0.004448547926808821
97485,53464,36,3006.0,2997.25,3000.75,3002.25,5101,-2441,-1,1,6,7661,2999.5,4543,255,-273,0,0,0,-1242,3002.0,2998.0,-2718,-2058,2732,1716,0.0035096515417398777
755934,331915,112,3001.5,2973.75,2979.0,3001.0,29514,24152,1,1,88,22295,2984.5,10156,2565,881,0,0,0,0,2995.75,2981.75,0,26043,-6241,-5397,-0.00041635440086607023
1084558,471147,87,2980.0,2958.5,2968.0,2979.0,31410,6916,1,1,44,42231,2966.75,20410,-785,-631,0,0,0,41211,2971.25,2964.0,-1073,27725,4834,2542,-0.0073308897034322085
1397762,599030,106,2981.75,2955.5,2970.0,2968.0,11320,8486,-1,-1,8,38645,2967.0,14045,-2423,-1555,0,0,0,9128,2978.5,2963.5,3439,15793,5878,5378,-0.0036925142665323873
1220895,500627,102,2955.25,2930.0,2932.75,2953.75,14613,24135,1,1,84,51085,2938.25,21962,1343,1071,0,0,0,59737,2943.0,2933.5,-1348,24325,6762,3545,-0.004801212938005395
1011178,486315,85,2935.75,2914.75,2914.75,2933.5,134,2620,1,1,75,47070,2929.75,21745,4828,2316,0,0,0,559,2932.5,2926.5,-5010,2446,4901,3970,-0.006855691917054596
1201761,559521,99,2939.0,2914.5,2922.5,2915.25,-15833,833,-1,-1,29,34819,2928.5,15447,931,1873,0,0,0,-13696,2931.25,2920.5,-6178,218,-5278,-4434,-0.006221237429691495
1387095,633029,154,2958.25,2920.0,2951.0,2923.0,-36363,-10407,-1,-1,112,31774,2922.25,10488,424,-474,0,0,0,18576,2942.0,2920.75,-11213,-1614,-4135,-3596,0.002658434096561191
